,year_film,year_ceremony,ceremony,category,name,film,winner,total_noms,runtime,director,stars,gross,imdb_rating,metascore,best_director_nom,genre_drama,genre_romance,genre_war,genre_crime,genre_film-noir,genre_musical,genre_action,genre_comedy,genre_music,genre_western,genre_history,genre_thriller,genre_biography,genre_family,genre_adventure,genre_sport,genre_mystery,genre_fantasy,genre_sci-fi,genre_horror,genre_animation,certificate_pg-13,certificate_passed,certificate_not_rated,certificate_approved,certificate_tv-pg,certificate_g,certificate_pg,certificate_tv-ma,certificate_r,certificate_m/pg,certificate_gp,bafta_nom,bafta_win,gg_drama_nom,gg_drama_win,gg_comedy_nom,gg_comedy_win,rt_critic,rt_audience
0,1927,1928,1,OUTSTANDING PICTURE,Fox,7th Heaven,False,5.0,110,Frank Borzage,"Janet Gaynor, Charles Farrell, Ben Bard, Albert Gran",65998748.27586207,7.6,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,84.0
1,1927,1928,1,OUTSTANDING PICTURE,The Caddo Company,The Racket,False,1.0,84,Lewis Milestone,"Thomas Meighan, Louis Wolheim, Marie Prevost, G. Pat Collins",,6.6,,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,69.0
2,1927,1928,1,OUTSTANDING PICTURE,Paramount Famous Lasky,Wings,True,2.0,144,"William A. Wellman, Harry d'Abbadie d'Arrast","Clara Bow, Charles 'Buddy' Rogers, Richard Arlen, Jobyna Ralston",110796861.94310343,7.5,78.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,79.0
3,1928,1929,2,OUTSTANDING PICTURE,Fox,In Old Arizona,False,4.0,95,"Irving Cummings, Raoul Walsh","Edmund Lowe, Warner Baxter, Dorothy Burgess, Henry Armetta",48502004.09356724,5.5,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,35.0
4,1928,1929,2,OUTSTANDING PICTURE,Feature Productions,Alibi,False,2.0,91,Roland West,"Chester Morris, Harry Stubbs, Mae Busch, Eleanor Griffith",,5.7,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,35.0
5,1928,1929,2,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,The Hollywood Revue of 1929,False,1.0,130,"Charles Reisner, Christy Cabanne, Norman Houston","Conrad Nagel, Jack Benny, John Gilbert, Norma Shearer",,5.8,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,19.0
6,1928,1929,2,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,The Broadway Melody,True,3.0,100,Harry Beaumont,"Bessie Love, Anita Page, Charles King, Eddie Kane",104764328.84210524,5.6,66.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0
7,1928,1929,2,OUTSTANDING PICTURE,Paramount Famous Lasky,The Patriot,False,5.0,113,Ernst Lubitsch,"Emil Jannings, Lewis Stone, Florence Vidor, Vera Voronina",48502004.09356724,,,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,58.0
8,1929,1930,3,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Divorcee,False,4.0,84,Robert Z. Leonard,"Norma Shearer, Robert Montgomery, Chester Morris, Conrad Nagel",,6.7,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,62.0
9,1929,1930,3,OUTSTANDING PRODUCTION,Cosmopolitan,The Big House,False,4.0,87,"George W. Hill, Ward Wing","Chester Morris, Wallace Beery, Lewis Stone, Robert Montgomery",,7.1,74.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,70.0
10,1929,1930,3,OUTSTANDING PRODUCTION,Universal,All Quiet on the Western Front,True,4.0,152,Lewis Milestone,"Lew Ayres, Louis Wolheim, John Wray, Arnold Lucy",55963850.87719297,8.1,91.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,89.0
11,1929,1930,3,OUTSTANDING PRODUCTION,Paramount Famous Lasky,The Love Parade,False,5.0,107,Ernst Lubitsch,"Maurice Chevalier, Jeanette MacDonald, Lupino Lane, Lillian Roth",,7.0,,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,77.0
12,1929,1930,3,OUTSTANDING PRODUCTION,Warner Bros.,Disraeli,False,3.0,90,Alfred E. Green,"George Arliss, Doris Lloyd, David Torrence, Joan Bennett",,6.1,,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,41.0
13,1930,1931,4,OUTSTANDING PRODUCTION,RKO Radio,Cimarron,True,7.0,123,Wesley Ruggles,"Richard Dix, Irene Dunne, Estelle Taylor, Nance O'Neil",,5.8,70.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,25.0
