,year_film,year_ceremony,ceremony,category,name,film,winner,total_noms,runtime,director,stars,gross,imdb_rating,metascore,best_director_nom,genre_drama,genre_romance,genre_war,genre_crime,genre_film-noir,genre_musical,genre_action,genre_comedy,genre_music,genre_western,genre_history,genre_thriller,genre_biography,genre_family,genre_adventure,genre_sport,genre_mystery,genre_fantasy,genre_sci-fi,genre_horror,genre_animation,certificate_pg-13,certificate_passed,certificate_not_rated,certificate_approved,certificate_tv-pg,certificate_g,certificate_pg,certificate_tv-ma,certificate_r,certificate_m/pg,certificate_gp,bafta_nom,bafta_win,gg_drama_nom,gg_drama_win,gg_comedy_nom,gg_comedy_win,rt_critic,rt_audience,pga_nom,pga_win,ccma_nom,ccma_win
0,1927,1928,1,OUTSTANDING PICTURE,Fox,7th Heaven,FALSE,5,110,Frank Borzage,"Janet Gaynor, Charles Farrell, Ben Bard, Albert Gran",65998748.28,7.6,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,84,0,0,0,0
1,1927,1928,1,OUTSTANDING PICTURE,The Caddo Company,The Racket,FALSE,1,84,Lewis Milestone,"Thomas Meighan, Louis Wolheim, Marie Prevost, G. Pat Collins",,6.6,,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,69,0,0,0,0
2,1927,1928,1,OUTSTANDING PICTURE,Paramount Famous Lasky,Wings,TRUE,2,144,"William A. Wellman, Harry d'Abbadie d'Arrast","Clara Bow, Charles 'Buddy' Rogers, Richard Arlen, Jobyna Ralston",110796861.9,7.5,78,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,79,0,0,0,0
3,1928,1929,2,OUTSTANDING PICTURE,Fox,In Old Arizona,FALSE,4,95,"Irving Cummings, Raoul Walsh","Edmund Lowe, Warner Baxter, Dorothy Burgess, Henry Armetta",48502004.09,5.5,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,35,0,0,0,0
4,1928,1929,2,OUTSTANDING PICTURE,Feature Productions,Alibi,FALSE,2,91,Roland West,"Chester Morris, Harry Stubbs, Mae Busch, Eleanor Griffith",,5.7,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,35,0,0,0,0
5,1928,1929,2,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,The Hollywood Revue of 1929,FALSE,1,130,"Charles Reisner, Christy Cabanne, Norman Houston","Conrad Nagel, Jack Benny, John Gilbert, Norma Shearer",,5.8,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,19,0,0,0,0
6,1928,1929,2,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,The Broadway Melody,TRUE,3,100,Harry Beaumont,"Bessie Love, Anita Page, Charles King, Eddie Kane",104764328.8,5.6,66,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,0,0,0,0
7,1928,1929,2,OUTSTANDING PICTURE,Paramount Famous Lasky,The Patriot,FALSE,5,113,Ernst Lubitsch,"Emil Jannings, Lewis Stone, Florence Vidor, Vera Voronina",48502004.09,,,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,58,0,0,0,0
8,1929,1930,3,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Divorcee,FALSE,4,84,Robert Z. Leonard,"Norma Shearer, Robert Montgomery, Chester Morris, Conrad Nagel",,6.7,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,62,0,0,0,0
9,1929,1930,3,OUTSTANDING PRODUCTION,Cosmopolitan,The Big House,FALSE,4,87,"George W. Hill, Ward Wing","Chester Morris, Wallace Beery, Lewis Stone, Robert Montgomery",,7.1,74,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,70,0,0,0,0
